ratings;displayName;brand.displayName
{'average': 4.8, 'total': 0};Warung Mbak Diah, Depok;Warung Mbak Diah, Caturtunggal
{'average': 4.6, 'total': 0};Sukai es teler ,es buah & es campur;Sukai es teler ,es buah & es campur, Sunarto
{'average': 4.8, 'total': 0};Find Me, Nologaten;Find Me
{'average': 4.7, 'total': 0};TAKOYAKI .Onoiki Takoyaki, Sonosewu PGRI;Onoiki Takoyaki, Sonosewu PGRI, Dita Febrinia
{'average': 4.7, 'total': 0};Nomojowo, Nologaten;Ayam Seafood Sapi Nomojowo, Pitri Apriani
{'average': 4.7, 'total': 0};Treat, Pakualaman;Treat Cafe & Resto
{'average': 4.8, 'total': 0};Lotisan Rujak, Salad Buah & Asinan, Progo Dept Store;Lotisan
{'average': 4.7, 'total': 0};Warung Nayya Soto Lamongan dan Pecel Lele, Kaliurang 14,5;Warung Nayya Soto Lamongan dan Pecel Lele
{'average': 4.8, 'total': 0};Olive Fried Chicken, Gedongan;Olive Fried Chicken
{'average': 4.7, 'total': 0};Masakan Padang Duta Minang, Ahmad Dahlan;Duta Minang YK
{'average': 4.8, 'total': 0};Sambel Colek, Perumnas;Sambel Colek
{'average': 4.7, 'total': 0};Jatinangor House, Seturan;Jatinangor House
{'average': 4.6, 'total': 0};Rocket Chicken, Ahmad Dahlan DIY;Rocket Chicken General
{'average': 4.7, 'total': 0};Burjo Borneo, Seturan;Burjo Borneo
{'average': 4.7, 'total': 0};Waroeng Spesial Sambal SS, Maguwo;Waroeng Spesial Sambal (SS)
{'average': 4.6, 'total': 0};Deliwings Express Papringan, Depok / Caturtunggal;Deliwings Express Papringan, Depok / Caturtunggal, Dwipangga Agritanaya
{'average': 4.7, 'total': 0};Pizza Hut Delivery - PHD, Seturan Yogyakarta;Pizza Hut Delivery - PHD
{'average': 4.7, 'total': 0};Olive Fried Chicken, Tendean;Olive Fried Chicken
{'average': 4.8, 'total': 0};Treat, Seturan;Treat Cafe & Resto
{'average': 4.7, 'total': 0};Jatinangor House, Wirobrajan;Jatinangor House
{'average': 4.7, 'total': 0};Emados Shawarma, Yogyakarta;Emados
{'average': 4.6, 'total': 0};Waroeng Steak and Shake, Perumnas;Waroeng Steak and Shake
{'average': 4.6, 'total': 0};Rumah Makan Seafood 99, Depok;Rumah Makan Seafood 99 Kartasura
{'average': 4.6, 'total': 0};RM Sabana Murah - Tamantirto, Gatak;Nasi Padang Sabana Murah
{'average': 4.7, 'total': 0};Luwe Ricebowl, Nologaten;Luwe Ricebowl, Steven Mario Handoko
{'average': 4.7, 'total': 0};Geprek Bensu, Seturan;Geprek Bensu General
{'average': 4.8, 'total': 0};Belikopi, Seturan Raya;Belikopi. Gresik, Fariz Julinar Maurisal SE
{'average': 4.6, 'total': 0};Pondok Ikan Dua Putri, Perumnas;Pondok Ikan Dua Putri
{'average': 4.8, 'total': 0};Kopi Janji Jiwa & Jiwa Toast, Seturan Yogya;Kopi Janji Jiwa
{'average': 4.6, 'total': 0};Dapur Manado, Melati Kulon;Dapur Manado - Martha Makalew
{'average': 4.7, 'total': 0};Popeye Chicken Express, Nologaten;Popeye General
{'average': 4.6, 'total': 0};Tiga Dara Frozen Food;Tiga Dara Frozen Food, Noor Setiarso, S.E., AKT.
{'average': 4.8, 'total': 0};Pork King - Ricebox Babi, Gondokusuman;Pork King - Ricebox Babi, Arief Oscar Navero
{'average': 4.7, 'total': 0};Domino's Pizza, Seturan;Domino's Pizza
{'average': 4.8, 'total': 0};Olive Fried Chicken, Sapen;Olive Fried Chicken
{'average': 4.6, 'total': 0};Its Bobatime, Gondokusuman;The Bobatime, Joyoboyo
{'average': 4.7, 'total': 0};Rotbar King, Roti Bakar & Kukus, Nologaten;Roti Bakar Rotbar King
{'average': 4.7, 'total': 0};Haus!, Yogya Kapten Tendean;HAUS! GENERAL
{'average': 4.7, 'total': 0};Ayam Kemangi, Amarta;Sego Gapitan Jogja
{'average': 4.6, 'total': 0};GEPREK Mr NICO, Jl.Bimasakti No:35, Demangan;GEPREK Mr NICO, Jln. Bimokurdo No:8,Demangan, EKO PURWANTO
{'average': 4.8, 'total': 0};RM Seafood 99, Puluhdadi;RM Seafood 99, Jalan Parangtritis
{'average': 4.7, 'total': 0};Belikopi, Wirobrajan;Belikopi. Gresik, Fariz Julinar Maurisal SE
{'average': 4.7, 'total': 0};Waroeng Spesial Sambal SS, Ambarketawang;Waroeng Spesial Sambal (SS)
{'average': 4.8, 'total': 0};Kopi Kenangan, Ruko Jalan Seturan;Kopi Kenangan
{'average': 4.7, 'total': 0};Ayam Geprek Sang Juara, JL.PGRI II 235;Ayam Geprek Sang Juara
{'average': 4.7, 'total': 0};Lesehan Pecel Lele LP (Laparpool) Nglempong, Ngemplak Umbulmartani;Lesehan Pecel Lele Laparpool
{'average': 4.7, 'total': 0};Bakmi Jawa Mas Ari;Bakmi Jawa Mas Ari, SRI SUMARSIH
{'average': 4.7, 'total': 0};Ayam Goreng Mbok Sabar, Jagalan;Ayam Goreng Mbok Sabar Jagalan
{'average': 4.8, 'total': 0};Sebelas Coffee Sapen, Bimo Kurdo;Sebelas Coffee Crafter
{'average': 4.6, 'total': 0};Pecel Lele dan Soto Lamongan Cak Kobir, Nologaten;Pecel Lele dan Soto Lamongan Cak Kobir
{'average': 4.6, 'total': 0};KopiGo Coffee (#1 Healthy Kopi Buah), Bangunjiwo;KopiGO Coffee
{'average': 4.7, 'total': 0};Hola Jus (#1 Healthy Juice & Smoothies), PGRI;Hola Jus
{'average': 4.6, 'total': 0};Curryin, Ruko Pintu Barat UMBY 3;CURRYIN Seturan , Karyudi
{'average': 4.7, 'total': 0};Salad MOI (#1 Healthy Salad Buah), Kasihan;Salad Moi
{'average': 4.6, 'total': 0};MIXUE JOGJA SETURAN YKPN;Mixue Maranatha Surya Sumantri
{'average': 4.8, 'total': 0};Parsley Bakery & Cake Shop, Seturan;Parsley Bakery & Cake Shop
{'average': 4.7, 'total': 0};RM Sabana Murah - Nologaten, Caturtunggal;Nasi Padang Sabana Murah
{'average': 4.7, 'total': 0};PREKSU (Ayam Geprek & Susu), Seturan;Preksu (Ayam Geprek dan Susu)
{'average': 4.7, 'total': 0};Sate Ayam Madura Cak Fadil, Gondokusuman Yogyakarta 55221;Sate Ayam Cak Fadil, Gondokusuman Yogyakarta 55221, SAHIDI
{'average': 4.8, 'total': 0};Hokben Kitchen, Seturan Jogja;HokBen
{'average': 4.5, 'total': 0};Lotek & Gado - Gado Colombo Bu Ary, Kledokan;Lotek & Gado - Gado Colombo Bu Ary, Yk
{'average': 4.7, 'total': 0};Morgan Kebab UIN, Jl. Bimo Kurdo, Papringan;MORGANS KEBAB, SETURAN, MUH. DAROJATUN KUNCORO SAKTI
{'average': 4.7, 'total': 0};Lesehan Mas Ndut, Jangkar Bumi;Lesehan Mas Ndut
{'average': 4.4, 'total': 0};"Sate Ayam & Sate Kambing - Tongseng , Gulai ""Pak Wito"", Bausasran";Sate Ayam & Kambing Pak Wito
{'average': 4.2, 'total': 0};Gudeg Mbarek Bu Hj. Amad, Alun-Alun Utara;Gudeg Mbarek Bu Hj. Amad
{'average': 4.4, 'total': 0};Crisbar Kitchen, Bimasakti;Crisbar Kitchen
{'average': 4.5, 'total': 0};ESQUE WIROBRAJAN;ESQUE
{'average': 4.7, 'total': 0};Rocket Chicken, Gayam DIY;Rocket Chicken General
{'average': 4.7, 'total': 0};Nasi Kulit Hidayah Seturan;Nasi Kulit Hidayah Seturan, Alif Renita Oktaviyani
{'average': 4.6, 'total': 0};Ayam Geprek Bu Rini 5, Nologaten;Ayam Geprek Bu Rini 5, Nologaten, Muhammad Faisyal Rifai, S.H.
{'average': 4.6, 'total': 0};Aneka Seafood, Pakem Turi;ANEKA SEAFOOD JALAN PAKEM TURI, SRI HARTATI
{'average': 4.7, 'total': 0};Nasi Telur Krispi S1 (Es Satu), Seturan;Nasi Telur Krispi S1 (Es Satu), Seturan, Alif Renita Oktaviyani
{'average': 4.7, 'total': 0};Menantea, Seturan Yogyakarta;Menantea
{'average': 4.7, 'total': 0};Burjo Motekar 8, Sunan Kudus;Burjo Motekar
{'average': 4.7, 'total': 0};MORGANS KEBAB, SETURAN;MORGANS KEBAB, SETURAN, MUH. DAROJATUN KUNCORO SAKTI
{'average': 4.7, 'total': 0};Jatinangor House, Ambarukmo;Jatinangor House
{'average': 4.7, 'total': 0};Takoyaki Pekoo Pekoo, Seturan;Takoyaki Pekoo Pekoo, Seturan, Farida Chandradewi
{'average': 4.7, 'total': 0};Sate Taichan Langgeng, UMY;Sate Taichan Langgeng
{'average': 4.6, 'total': 0};Mie Ayam & Bakso Pak Jo, Patangpuluhan;Mie Ayam & Bakso Pak Jo, Patangpuluhan
{'average': 4.7, 'total': 0};Burjo Motekar 14, Anggrek;Burjo Motekar
{'average': 4.6, 'total': 0};Pukis Kota Baru, Selokan;Pukis & Martabak Kota Baru
{'average': 4.7, 'total': 0};RM.Padang Uni ITA 2, UMY;RM.Padang Uni ITA 2, UMY, Yanto Andris
{'average': 4.8, 'total': 0};Burjo Motekar 7, Anggrek;Burjo Motekar
{'average': 4.6, 'total': 0};Sop Ayam Klaten, Jalan Kaliurang Km. 16;Sop Ayam Klaten - Ario Sekti Kusbandoro
{'average': 4.5, 'total': 0};Sate Padang Bang Kumis Batusangka, Laksda Adisucipto;Sate Padang Bang Kumis Batusangka
{'average': 4.7, 'total': 0};Almond Seturan Bakery Café And Resto, Seturan;Almond Seturan Bakery
{'average': 4.5, 'total': 0};Burgerax, Patangpuluhan;Burgerax
{'average': 4.7, 'total': 0};KFC, Seturan Yogyakarta;KFC
{'average': 4.7, 'total': 0};Kedai Mie Nyinyir, Patangpuluhan;Kedai Mie Nyinyir
{'average': 4.5, 'total': 0};Warung Ayam Geprek Rizki Roso/Pecel Lele, Pamungkas;Warung Rizki Roso
{'average': 4.8, 'total': 0};28 Coffee, Plaza Seturan Raya;28 Coffee
{'average': 4.8, 'total': 0};Karen Chicken by Olive, Patangpuluhan;Karen Chicken
{'average': 4.6, 'total': 0};Mie Gacoan, Wirobrajan;Mie Gacoan
{'average': 4.8, 'total': 0};Couvee, Seturan;Couvee
{'average': 4.8, 'total': 0};Mak Semarangan Express, Seturan;Mak Semarangan Express
{'average': 4.6, 'total': 0};Seblak Pasta, Patangpuluhan;Seblak Pasta
{'average': 4.7, 'total': 0};Nasi Pecel Bu Dwi Asli Madiun, Pakualaman;Nasi Pecel Bu Dwi Asli Madiun
{'average': 4.6, 'total': 0};Nasi Padang Sayidan, Gondomanan;Nasi Padang.sayidan Gondomanan, Yusnafiah
{'average': 4.7, 'total': 0};Haus!, Yogya Seturan;HAUS! GENERAL
{'average': 4.5, 'total': 0};Ayam Goreng Hj Toyib, Amplaz;Ayam Goreng Hj Toyib
{'average': 4.8, 'total': 0};Fore Coffee, Seturan;Fore Coffee
{'average': 4.7, 'total': 0};Holland Bakery, Seturan;Holland Bakery
{'average': 4.5, 'total': 0};Rawon & Garang Asem Bu Yayuk, Ambarukmo;Warung Makan Bu Yayuk
{'average': 4.6, 'total': 0};ESQUE TIMOHO;ESQUE
{'average': 4.7, 'total': 0};Nasi Kuning & Nasi Uduk Ibuku, Manggis;Nasi Kuning & Nasi Uduk Ibuku, Parinem
{'average': 4.7, 'total': 0};Warmindo Bujang;Warmindo Bujang, Rista Puspitasari
{'average': 4.8, 'total': 0};Starbucks, Senturan Yogyakarta;Starbucks
{'average': 4.7, 'total': 0};Solaria, Plaza Ambarrukmo;Solaria
{'average': 4.7, 'total': 0};Genki Sushi, Plaza Ambarrukmo;Genki Sushi
{'average': 4.6, 'total': 0};Cheon, Ambarrukmo Plaza;Cheon Korean Mozarella Corndog
{'average': 4.7, 'total': 0};Nasi Ayam d' Katsu, Rejodadi Sidorejo;Nasi Ayam Katsu Dian, Sidorejo
{'average': 4.7, 'total': 0};RM Padang Asli Minang Mananti, Gatak;RM Padang Asli Minang Mananti
{'average': 4.8, 'total': 0};Warung Makan Mahasiswa;Warung Makan Mahasiswa
{'average': 4.8, 'total': 0};Ichiban Sushi, Plaza Ambarrukmo;Ichiban Sushi
{'average': 4.4, 'total': 0};Seafood 99, IKIP PGRI;Seafood 99 - Supriyono
{'average': 4.8, 'total': 0};Ayam Geprek Hoki, Tegalwangi;Ayam Geprek Hoki Tegalwangi
{'average': 4.7, 'total': 0};Rocket Chicken, Kemusuk;Rocket Chicken General
{'average': 4.7, 'total': 0};Donking Kebab & Burger;Donking Kebab & Burger
{'average': 4.7, 'total': 0};Rumah Makan Padang Putra Piliang, Timoho;Rumah Makan Padang Putra Piliang, YK
{'average': 4.5, 'total': 0};Gudeg Areh Ayam Kampung Ibu Suradi, Ambarukmo;Gudeg Areh Ayam Kampung Ibu Suradi, Ambarukmo
{'average': 4.8, 'total': 0};Sop Ayam Klaten, Seturan;Sop Ayam Klaten - Ario Sekti Kusbandoro
{'average': 4.7, 'total': 0};Lesehan Ayu Sakti, Timoho;Lesehan Ayu Sakti Timoho
{'average': 4.7, 'total': 0};Gudeg Wijilan Bu is;Gudeg Wijilan Bu is, Arief Ardhiantama
{'average': 4.8, 'total': 0};Olive Fried Chicken Take Away, Gowok;Olive Fried Chicken
{'average': 4.7, 'total': 0};Makaroni Ngehe, Foxtrot Brigjen Katamso;Makaroni Ngehe General
{'average': 4.4, 'total': 0};JCO Reserve, Ambarukmo Plaza;JCO Reserve
{'average': 4.6, 'total': 0};Roti Gembong Golden, Timoho;Roti Gembong Golden
{'average': 4.5, 'total': 0};Gudeg Bu Lies 1 Wijilan;Gudeg Bu Lies 1 Wijilan, Ellina Rahmawati K
{'average': 4.6, 'total': 0};Bakmi & Bajigur Kadin Mbah Hj. Karto / Pak. Rochadi – Pusat / Asli, Wirogunan;Bakmi & Bajigur Kadin Mbah Hj. Karto/Pak. Rochadi
{'average': 4.5, 'total': 0};Salad MOI (#1 Healthy Salad Buah), Timoho;Salad Moi
{'average': 4.8, 'total': 0};Ayam Tulang Lunak Hayam Wuruk, Plaza Ambarrukmo;Ayam Tulang Lunak Hayam Wuruk All
{'average': 4.7, 'total': 0};Nasi Kulit Merindu;Nasi Kulit Merindu, Siti Khofiyah
{'average': 4.2, 'total': 0};Hola Jus (#1 Healthy Juice & Smoothies), Timoho;Hola Jus
{'average': 4.8, 'total': 0};A&W Plaza Ambarrukmo;A&W
{'average': 4.7, 'total': 0};Shihlin Taiwan Street Snacks, Plaza Ambarrukmo;Shihlin Taiwan Street Snacks
{'average': 4.6, 'total': 0};Chatime, Ambarukmo Plaza;Chatime
{'average': 4.7, 'total': 0};Burger King, Plaza Ambarrukmo;Burger King
{'average': 4, 'total': 0};Mochi Sakura, Plaza Ambarukmo;Mochi Sakura
{'average': 4.7, 'total': 0};Marugame Udon & Tempura, Plaza Ambarrukmo;Marugame Udon & Tempura
{'average': 4.7, 'total': 0};KFC, Plaza Ambarrukmo;KFC
{'average': 4.7, 'total': 0};Olive Fried Chicken, Gondomanan;Olive Fried Chicken
{'average': 4.7, 'total': 0};Sambel Colek, Kledokan;Sambel Colek
{'average': 4.4, 'total': 0};Gudeg Yu Narni, Ngasem;Gudeg Yu Narni - Noni Vinaya
{'average': 4.6, 'total': 0};Pempek dan Siomay Ulu Bundar, Laksda Adisucipto;Pempek dan Siomay Ulu Bundar
{'average': 4.6, 'total': 0};Ayam Geprek Fella, Gunungketur;Fella, Aniwati
{'average': 4.7, 'total': 0};Warmindo Elephant, Ampta;Warmindo Elephant
{'average': 4.7, 'total': 0};Sate Taichan Senayan, Babarsari;Sate Taichan Senayan Yogyakarta
{'average': 4.8, 'total': 0};Emados Shawarma, Sultan Agung;Emados
{'average': 4.7, 'total': 0};McDonald’s, Sultan Agung;McDonald's
{'average': 4.8, 'total': 0};Kupiku Coffee, Umbulharjo;Kupiku Coffee
{'average': 4.7, 'total': 0};Choky Spaghetti Steak, Babarsari;Choky Factory
{'average': 4.5, 'total': 0};Se'i Sapi Kana, Babarsari;Se'i Sapi Kana
{'average': 4.6, 'total': 0};Padang Ar-Razzaaq, Gowok;RM Padang AR-RAZZAAQ
{'average': 4.7, 'total': 0};Bak & Mie - Babi Geprek, Kompleks Pertokoan Babarsari;Bak & Mie - Babi Geprek Asem Gede
{'average': 4.4, 'total': 0};Bika Ambon Larizo, Babarsari;Bika Ambon Larizo Samuel Natahamidjaja
{'average': 4.7, 'total': 0};Salad Nyoo (Pelopor #1 Salad Buah Indonesia), Caturtunggal;Salad Nyoo
{'average': 4.6, 'total': 0};Nasi Pecel Bu Dwi Asli Madiun, Ambarukmo;Nasi Pecel Bu Dwi Asli Madiun
{'average': 4.4, 'total': 0};Nasi Kulit Syuurga, Kledokan;Nasi Kulit Syuurga
{'average': 4.7, 'total': 0};Belikopi, Sultan Agung;Belikopi. Gresik, Fariz Julinar Maurisal SE
{'average': 4.5, 'total': 0};Nasi Goreng SERBU;Nasi Goreng SERBU, Nuris Sobah
{'average': 4.4, 'total': 0};Bubur Ayam Kens Srawung, Polowijan;SPECIAL BUBUR AYAM, Jasmine Azhari Findra Kendaga
{'average': 4.6, 'total': 0};Seafood 99, Paingan;Rumah Makan & Seafood 99 Migrate
{'average': 4.6, 'total': 0};Rocket Chicken, Sonosewu Baru;Rocket Chicken General
{'average': 4.7, 'total': 0};Rocket Chicken, Katamso;Rocket Chicken General
{'average': 4.8, 'total': 0};Salad Sehat Fd;Salad Sehat Fd, Salma Nurazizah
{'average': 4.5, 'total': 0};Ayam Mentega Nusantara, Sembada;kedai hari baik, Sutiyem
{'average': 4.7, 'total': 0};Rocket Chicken, Pakem Raya;ROCKET CHICKEN, Sainsena Pikasani Indraputra
{'average': 4.8, 'total': 0};Bakpia Bakpiaku, Sultan Agung;Bakpiaku
{'average': 4.7, 'total': 0};Rocket Chicken Sorowajan, Banguntapan;Rocket Chicken Sorowajan Banguntapan
{'average': 3.9, 'total': 0};Sate Ayam Madura Cak Baha, Kasihan;Sate ayam Madura Cak Baha, Abdullah
{'average': 4.6, 'total': 0};Takoyaki Crispy Mr. Kev, Kapas;Takoyaki Crispy Mr. Kev, Ngaglik
{'average': 4.7, 'total': 0};CANDA YAMIE,pareanom;CANDA YAMIE,pareanom, A.FERYANI
{'average': 4.4, 'total': 0};Padang Murah;Padang Murah, Ngadimin Agus
{'average': 4.7, 'total': 0};Olive Fried Chicken, Paingan;Olive Fried Chicken
{'average': 4.5, 'total': 0};Mie Ayam Bakso Tetelan, Mergangsan;Mie Ayam Bakso Tetelan, Sylvia
{'average': 4.7, 'total': 0};Pizza Hut, Sultan Agung Yogyakarta;Pizza Hut
{'average': 4.8, 'total': 0};Olive Fried Chicken Take Away, Pakem;Olive Fried Chicken
{'average': 4.7, 'total': 0};Rocket Chicken, Timoho;Rocket Chicken General
{'average': 4.6, 'total': 0};Mie Ayam Bakso Royal, Krodan;Mie Ayam Bakso Royal, Tasura
{'average': 4.7, 'total': 0};Pasta Banget Express, Babarsari;Pasta Banget Express, Babarsari
{'average': 4.7, 'total': 0};SGPC Sop Penyetan Bu Wiryo Cendana;SGPC Sop & Penyetan Cendana
{'average': 4.6, 'total': 0};Warmindo Elephant, UMY;Warmindo Elephant
{'average': 4.6, 'total': 0};BPK Ola Kisat, Yogyakarta;BPK OLA KISAT Yogyakarta
{'average': 4.7, 'total': 0};Bubur Hayam Kotabaru, Tasura;Bubur Hayam Kotabaru
{'average': 4.7, 'total': 0};Ayam Geprek Dan Goreng Kremes Mbak Evy, Bugisan;Ayam Geprek Special Kremes Mbak Evy Vio, May Indra Cahya
{'average': 4.2, 'total': 0};Nasi Goreng Dan Seafood Waroenk B&J, Babarsari;Nasi Goreng Dan Seafood WAROENK B&J 3, Ivo Wijaya
{'average': 4.8, 'total': 0};McDonald's, Yogyakarta Ambarukmo;McDonald's
{'average': 4.7, 'total': 0};Lawson Shop,  Sorowajan 6BB6;Lawson
{'average': 4.8, 'total': 0};Ayam Srundeng dan Ceker Judes Azalea, Bantul;Ayam Srundeng dan Ceker Judes Azalea
{'average': 4.3, 'total': 0};Ayam Kremes,Pecel Lele Mas Sakti, Matrijeron;Sup Buah Dan Jus Pertama
{'average': 4.6, 'total': 0};Raja Ayam Rempah Tito;Raja Ayam Rempah Tito, Mulyono
{'average': 4.7, 'total': 0};Ayam Penyet Dinar, Suryowijayan;Ayam Penyet Dinar, Suryowijayan
{'average': 4.8, 'total': 0};Nasi Pedas Kabayang;Nasi Pedas Kabayang, Ferry Ramadhan
{'average': 4.8, 'total': 0};Bakso Balungan Pak Granat, Mantrijeron;Bakso Balungan Pak Granat
{'average': 4.7, 'total': 0};Pizza Hut, Adi Sucipto Jogja;Pizza Hut
{'average': 4.6, 'total': 0};Gudeg Mercon Bu Murni;Gudeg Mercon Bu Murni, Tukijan Hadiwiyono
{'average': 4.7, 'total': 0};Warmindo Elephant, Tajem;Warmindo Elephant
{'average': 4.7, 'total': 0};Ayam Gepuk Pak Gembus, Timoho;Ayam Gepuk Pak Gembus 1
{'average': 4.8, 'total': 0};Burger Bangor Express, Taman Siswa;Burger Bangor General
{'average': 4.7, 'total': 0};Martabak Pecenongan 78, Babarsari Jogja;Martabak Pecenongan 78
{'average': 4.6, 'total': 0};Jank Jank Wings, Taman Siswa;Jank Jank Wings General
{'average': 4.7, 'total': 0};Jatinangor House, Keraton;Jatinangor House
{'average': 4.3, 'total': 0};Nasi Goreng, Mie, Ayam Geprek, Penyetan Kedai Bang Adol, Patehan;Kedai Bang Adol, Patehan
{'average': 4.6, 'total': 0};Lotek Gado-Gado Bu Ning, Tamansiswa;Lotek Gado-Gado Bu Ning Tamansiswa
{'average': 4.7, 'total': 0};Nasi Kapau Uda Jack;Nasi Kapau Uda Jack, Meyrandi Fitrajaya
{'average': 4.6, 'total': 0};Salad Nyoo (Pelopor #1 Salad Buah Indonesia), Timoho;Salad Nyoo
{'average': 4.7, 'total': 0};Mie Ayam Palembang Afui, UMY;Mie Ayam Palembang Afui
{'average': 4.7, 'total': 0};Mie Gacoan, Taman Siswa;Mie Gacoan
{'average': 4.8, 'total': 0};Ayam Bakar Tamsis 2, Mergangsan;Ayam Bakar Tamsis
{'average': 4.8, 'total': 0};Kopi Kenangan, SPBU Pertamina Laksda Adisucipto;Kopi Kenangan
{'average': 4.6, 'total': 0};Sate Ayam Dan Kambing Cak Arvino Asli Madura,  Mergangsan;Sate Ayam Dan Kambing Cak Arvino Asli Madura,  Surokarsan, Muhammad Ervan
{'average': 4.8, 'total': 0};AB Oriental Streetfood, Pedak;AB Oriental Streetfood, Condongcatur, Bima Brian Arga
{'average': 4.7, 'total': 0};Sun Rice Bowl, Pedak;Sun Rice Bowl, Klebengan
{'average': 4.7, 'total': 0};Yamie Panda, Timoho;Yamie Panda Migrate
{'average': 4.8, 'total': 0};Dapur De Fa, Rukeman;Dapur De Fa
{'average': 4.6, 'total': 0};Bakso Laris, Umbulharjo;Bakso Laris Umbulharjo
{'average': 4.8, 'total': 0};PREKSU (Ayam Geprek & Susu) 2, Kasihan;Preksu (Ayam Geprek dan Susu)
{'average': 4.7, 'total': 0};Nomojowo, Sunan Kudus;Nomojowo, Gamping, Indro Sasongko Noto
{'average': 4.6, 'total': 0};Rumah Makan Padang Penasaran;Rumah Makan Padang Penasaran
{'average': 4.8, 'total': 0};Bubur Ayam Dan Nasi Bakar Tamantirto, Ring Road Barat;Bubur Ayam Dan Nasi Bakar Tamantirto
{'average': 4.8, 'total': 0};Yamie Panda, Babarsari;Yamie Panda Migrate
{'average': 4.7, 'total': 0};Lotek & Gado - Gado Bu Nur, Gatak;Lotek & Gado-Gado Bu Nur
{'average': 4.8, 'total': 0};Olive Fried Chicken Take Away, UMY;Olive Fried Chicken
{'average': 4.3, 'total': 0};Bloomery Patisserie, Tamansiswa;Bloomery Patisserie, Jakal
{'average': 4.8, 'total': 0};Ayam Goreng Raja Rasa, Kraton;Ayam Goreng Raja Rasa
{'average': 4.8, 'total': 0};Warung Rujak Cingur Mbah Mangun;Warung Rujak Cingur Mbah Mangun
{'average': 4.8, 'total': 0};Sego Berkat Dapur Mamie Bonchu, Pringgokusuman;Dapur Mamie Bonchu
{'average': 4.7, 'total': 0};Mentai Dapur Memayu Ngampilan;Mentai Dapur Memayu Ngampilan, Afiany Erka Kiswarani
{'average': 4.7, 'total': 0};Richeese Factory, Jogja-Sudirman;Richeese Factory
{'average': 4, 'total': 0};Nasi Kulit Syuurga, Tugu (Pasar Kranggan);Nasi Kulit Syuurga
{'average': 4.3, 'total': 0};Nasi Goreng Yu Narti, Manuk Beri Mergangsan Lor;Warung Smoothies Dan Jus Mbak NNisa, Tri Sunarti
{'average': 4.8, 'total': 0};Chinese Food Mie Pasar Baru, Jetis;Chinese Food Mie Pasar Baru, Jetis
{'average': 4.7, 'total': 0};PECEL LELE MA'KEPO;Cikacemil, Wirogunan
{'average': 4.5, 'total': 0};NASI PADANG BACIRO;NASI PADANG BACIRO, SITI CHOTIAH
{'average': 4.7, 'total': 0};Panties Pizza, Taman Siswa;Panties Pizza, Taman Siswa
{'average': 4.5, 'total': 0};Pizza Hut Delivery - PHD, Taman Siswa Yogyakarta;Pizza Hut Delivery - PHD
{'average': 4.7, 'total': 0};Haus!, Yogya Taman Siswa;HAUS! GENERAL
{'average': 4.8, 'total': 0};Makaroni Ngehe, Echo Tamansiswa;Makaroni Ngehe General
{'average': 4.7, 'total': 0};Ayam Tulang Lunak Hayam Wuruk, Taman Siswa;Ayam Tulang Lunak Hayam Wuruk All
{'average': 4.5, 'total': 0};Toko Roti Trubus, Poncowinatan;Trubus Bakery, Poncowinatan
{'average': 4.8, 'total': 0};Kopi Kenangan, Ruko Taman Siswa Yogyakarta;Kopi Kenangan
{'average': 4.6, 'total': 0};Nasi Uduk Ayam SJM;Nasi Uduk Ayam SJM, Kevin Naufal Hamid
{'average': 4.7, 'total': 0};KABOBS - Premium Kebab, Taman Siswa Yogyakarta;Kabobs - Premium Kebab
{'average': 4.7, 'total': 0};Takoyaki Pekoo Pekoo, Taman Siswa;Takoyaki Pekoo Pekoo, Seturan, Farida Chandradewi
{'average': 4.7, 'total': 0};ADS Kebab dan Telur Gulung, Taman Siswa;ADS Kebab dan Telur Gulung, Taman Siswa
{'average': 4.7, 'total': 0};AB Oriental Streetfood, Mergangsan;AB Oriental Streetfood, Condongcatur, Bima Brian Arga
{'average': 4.7, 'total': 0};Sun Rice Bowl, Mergangsan;Sun Rice Bowl, Klebengan
{'average': 4.7, 'total': 0};Waroeng Steak And Shake, Tamansiswa;Waroeng Steak and Shake
{'average': 4.7, 'total': 0};Morgans Kebab Tamsis, Jl. Taman Siswa No. 85;MORGANS KEBAB, SETURAN, MUH. DAROJATUN KUNCORO SAKTI
{'average': 4.8, 'total': 0};Nasi Rames Bu Bandi Jogja, Pingit;Nasi Rames Bu Bandi Jogja
{'average': 4.6, 'total': 0};Masakan Padang Duta Minang, Katamso;Duta Minang YK
{'average': 4.9, 'total': 0};Rumah Makan Terang Mulyo, Katamso;Terang Mulyo New Kitchen & Juice Bar
{'average': 4.8, 'total': 0};Warmindo/ Burjo Mekar Mukti, Umbulharjo;Warmindo/ Burjo Mekar Mukti, Engkus Kusnadi
{'average': 4.6, 'total': 0};Ayam Geprek Ambyar N Crisbar, Tuntungan Uh3 1081 Tahunan;Ayam Geprek Ambyar, Wahyu Ratna Wati
{'average': 4.4, 'total': 0};ESQUE TAMAN SISWA;ESQUE
{'average': 4.7, 'total': 0};Yamie Panda, Tamansiswa;Yamie Panda Migrate
{'average': 4.6, 'total': 0};Chicken Crush, Taman Siswa;Chicken Crush Yogyakarta
{'average': 4.4, 'total': 0};Warung Krisna, Demangan;Warung Krisna Demangan
{'average': 4.8, 'total': 0};Warung Makan Bu Nardi;Warung Makan Bu Nardi, Sri Rejeki
